UNet,VAE Decoder,Total
2598.12,199.58,14347.017526626587
2395.58,191.84,14694.639205932617
9282.66,194.46,17284.858465194702
8690.36,196.4,17523.94437789917
7891.9,193.71,16793.383359909058
2333.76,190.17,13798.226356506348
2350.06,196.48,14330.021142959595
3131.18,204.74,14413.914442062378
2343.76,191.26,14274.99794960022
2375.52,200.03,13416.887521743774
2381.62,191.92,14160.800457000732
9212.44,194.02,17086.429357528687
2346.32,192.25,14406.96668624878
4458.1,197.69,14805.784463882446
4353.16,194.3,15415.069341659546
7356.34,196.43,16135.223627090454
4315.76,189.11,15001.827716827393
7233.24,195.87,15780.365228652954
7155.14,191.35,16480.47947883606
2528.3,193.42,13532.873153686523
2366.08,195.18,14203.441619873047
1972.54,193.59,13163.510799407959
1843.38,194.1,13384.02533531189
1995.86,189.86,12967.681169509888
1987.3,194.3,13410.533905029297
2158.22,202.23,14908.80274772644
2092.32,192.1,13854.58755493164
