Operator,Count,Count (%),Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Average Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,163.0,4.409,0.0,0.0,2967568.0,0.0,1477634.0,0.0,0.493,0.0,0.0,2967568.0,0.0
And,1.0,0.027,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,2048.0,0.0
Concat,357.0,9.656,0.0,0.0,67576392.0,0.384,0.0,0.0,0.0,0.0,0.0,67576392.0,0.384
Constant,1801.0,48.715,0.0,0.0,14584.0,0.0,0.0,0.0,0.0,0.0,0.0,14584.0,0.0
Equal,70.0,1.893,0.0,0.0,343.0,0.0,343.0,0.0,1.0,0.0,0.0,343.0,0.0
Expand,71.0,1.92,0.0,0.0,537469056.0,3.008,268709952.0,3.456,0.479,0.0,0.0,537469056.0,3.008
Gather,1.0,0.027,525336576.0,6.542,1050681344.0,5.938,0.0,0.0,0.0,1050673152.0,5.938,8192.0,0.0
Greater,1.0,0.027,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,2048.0,0.0
MatMul,161.0,4.355,2550136832.0,31.744,5103880320.0,28.832,2551317568.0,32.768,0.5,5100273664.0,28.832,3606656.0,0.0
Mul,258.0,6.979,0.0,0.0,3026944.0,0.0,1513472.0,0.0,0.5,0.0,0.0,3026944.0,0.0
Pow,1.0,0.027,0.0,0.0,8192.0,0.0,4096.0,0.0,0.5,0.0,0.0,8192.0,0.0
Range,6.0,0.162,0.0,0.0,32800.0,0.0,12300.0,0.0,0.375,0.0,0.0,32800.0,0.0
Reshape,196.0,5.302,0.0,0.0,538050592.0,3.008,0.0,0.0,0.0,0.0,0.0,538050592.0,3.008
ScatterND,1.0,0.027,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
Shape,299.0,8.088,0.0,0.0,9192.0,0.0,0.0,0.0,0.0,0.0,0.0,9192.0,0.0
Slice,164.0,4.436,0.0,0.0,421952.0,0.0,0.0,0.0,0.0,0.0,0.0,421952.0,0.0
Unsqueeze,75.0,2.029,0.0,0.0,134455816.0,0.768,0.0,0.0,0.0,0.0,0.0,134455816.0,0.768
Where,71.0,1.92,0.0,0.0,6840.0,0.0,2391.0,0.0,0.13,0.0,0.0,6840.0,0.0
,3697.0,100.0,3075473408.0,38.0,7438610127.0,42.0,2823041852.0,36.0,6.0,6150946816.0,35.0,1287663311.0,7.0
