Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/embed_tokens/Gather,Gather,525336576.0,6.542,1050681344.0,5.938,0.0,0.0,0.0,5.938,0.0,1x1,1x1x4096,128256x4096,1.0,525336576.0,4096.0,8.0,1050673152.0,8192.0,1050.673152,0.008192,1050.681344
/model/Shape,Shape,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1x8x1024x128,4,,1048576.0,0.0,4.0,2097152.0,0.0,32.0,0.0,3.2e-05,3.2e-05
/model/Shape_1,Shape,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1x1x4096,3,,4096.0,0.0,3.0,8192.0,0.0,24.0,0.0,2.4e-05,2.4e-05
/model/Range,Range,0.0,0.0,8.0,0.0,3.0,0.0,0.375,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Shape_2,Shape,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1x2048,2,,2048.0,0.0,2.0,16384.0,0.0,16.0,0.0,1.6e-05,1.6e-05
Constant_2751,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Unsqueeze,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
Constant_2753,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Unsqueeze_1,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/Concat,Concat,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 1",2,,2.0,0.0,2.0,16.0,0.0,16.0,0.0,1.6e-05,1.6e-05
