Operator,Count,Count (%),Number of Params,Params (%),Compute Operations,Compute Operations (%),Memory (in Bytes),Memory (%),Average Compute-to-Memory Ratio (Operations/Byte),Read Memory (in Bytes),Write Memory (in Bytes),Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%),Memory (in MB),Read Memory (in MB),Write Memory (in MB)
Add,228.0,3.897,0.0,0.0,2525251.0,0.032,5062802.0,0.032,0.499,6045866.0,5062802.0,6045866.0,0.0,0.0,5062802.0,0.032,5.063,6.046,5.063
And,1.0,0.017,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,4096.0,2048.0,4096.0,0.0,0.0,2048.0,0.0,0.002,0.004,0.002
Cast,3.0,0.051,0.0,0.0,4097.0,0.0,8194.0,0.0,0.5,18440.0,8194.0,18440.0,0.0,0.0,8194.0,0.0,0.008,0.018,0.008
Concat,389.0,6.648,0.0,0.0,0.0,0.0,268837448.0,1.408,0.0,268837448.0,268837448.0,268837448.0,0.0,0.0,268837448.0,1.408,268.837,268.837,268.837
Constant,1801.0,30.781,0.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,14584.0,0.0,0.015,0.0,0.015
ConstantOfShape,71.0,1.213,0.0,0.0,0.0,0.0,6840.0,0.0,0.0,576.0,6840.0,576.0,0.0,0.0,6840.0,0.0,0.007,0.001,0.007
Cos,1.0,0.017,0.0,0.0,128.0,0.0,256.0,0.0,0.5,256.0,256.0,256.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0
Div,97.0,1.658,0.0,0.0,2097217.0,0.032,4194434.0,0.032,0.5,4194434.0,4194434.0,4194434.0,0.0,0.0,4194434.0,0.032,4.194,4.194,4.194
Equal,72.0,1.231,0.0,0.0,4439.0,0.0,4439.0,0.0,1.0,13680.0,4439.0,13680.0,0.0,0.0,4439.0,0.0,0.004,0.014,0.004
Expand,71.0,1.213,0.0,0.0,536883264.0,6.656,1073815680.0,5.568,0.5,268462960.0,1073815680.0,268462960.0,0.0,0.0,1073815680.0,5.568,1073.816,268.463,1073.816
Gather,1.0,0.017,525336576.0,6.542,0.0,0.0,1050681344.0,5.441,0.0,1050673160.0,8192.0,8.0,1050673152.0,5.441,8192.0,0.0,1050.681,1050.673,0.008
Greater,1.0,0.017,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,16392.0,2048.0,16392.0,0.0,0.0,2048.0,0.0,0.002,0.016,0.002
MatMul,290.0,4.956,7504658432.0,93.422,7506886720.0,93.175,15016782464.0,77.73,0.5,16090013826.0,7465600.0,1080696962.0,15009316864.0,77.697,7465600.0,0.033,15016.782,16090.014,7.466
Mul,393.0,6.717,266240.0,0.0,1780055.0,0.0,4094648.0,0.0,0.435,5966650.0,3562168.0,5434170.0,532480.0,0.0,3562168.0,0.0,4.095,5.967,3.562
Neg,64.0,1.094,0.0,0.0,81920.0,0.0,163840.0,0.0,0.5,163840.0,163840.0,163840.0,0.0,0.0,163840.0,0.0,0.164,0.164,0.164
Pow,65.0,1.111,0.0,0.0,266240.0,0.0,532480.0,0.0,0.5,532480.0,532480.0,532480.0,0.0,0.0,532480.0,0.0,0.532,0.532,0.532
Range,6.0,0.103,0.0,0.0,12300.0,0.0,32800.0,0.0,0.375,0.0,32800.0,0.0,0.0,0.0,32800.0,0.0,0.033,0.0,0.033
ReduceMean,65.0,1.111,0.0,0.0,65.0,0.0,130.0,0.0,0.5,532480.0,130.0,532480.0,0.0,0.0,130.0,0.0,0.0,0.532,0.0
Reshape,196.0,3.35,0.0,0.0,0.0,0.0,1074397216.0,5.568,0.0,1074403192.0,1074397216.0,1074403192.0,0.0,0.0,1074397216.0,5.568,1074.397,1074.403,1074.397
