Node,Inputs Name,Weights and Bias Name,Output Name,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Read Memory (in Bytes),Write Memory (in Bytes),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Weights and Bias Shape,Output Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Inputs Memory (in MB),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB),Read Memory (in MB),Write Memory (in MB)
/model/embed_tokens/Gather,input_ids,model.embed_tokens.weight,/model/embed_tokens/Gather_output_0,Gather,525336576.0,6.542,1050681344.0,5.441,1050673160.0,8192.0,0.0,0.0,0.0,5.441,0.0,1x1,128256x4096,1x1x4096,1.0,525336576.0,4096.0,8.0,1050673152.0,8192.0,8e-06,1050.673152,0.008192,1050.681344,1050.67316,0.008192
/model/Shape,past_key_values.0.key,,/model/Shape_output_0,Shape,0.0,0.0,32.0,0.0,4192256.0,32.0,0.0,0.0,0.0,0.0,0.0,1x8x2047x128,,4,2096128.0,0.0,4.0,4192256.0,0.0,32.0,4.192256,0.0,3.2e-05,3.2e-05,4.192256,3.2e-05
/model/Shape_1,/model/embed_tokens/Gather_output_0,,/model/Shape_1_output_0,Shape,0.0,0.0,24.0,0.0,8192.0,24.0,0.0,0.0,0.0,0.0,0.0,1x1x4096,,3,4096.0,0.0,3.0,8192.0,0.0,24.0,0.008192,0.0,2.4e-05,2.4e-05,0.008192,2.4e-05
/model/Range,,,/model/Range_output_0,Range,0.0,0.0,8.0,0.0,0.0,8.0,3.0,0.0,0.375,0.0,0.0,,,1,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,8e-06,8e-06,0.0,8e-06
/model/Shape_2,attention_mask,,/model/Shape_2_output_0,Shape,0.0,0.0,16.0,0.0,16384.0,16.0,0.0,0.0,0.0,0.0,0.0,1x2048,,2,2048.0,0.0,2.0,16384.0,0.0,16.0,0.016384,0.0,1.6e-05,1.6e-05,0.016384,1.6e-05
Constant_2751,,,onnx::Unsqueeze_375,Constant,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,8e-06,8e-06,0.0,8e-06
/model/Unsqueeze,onnx::Unsqueeze_375,,/model/Unsqueeze_output_0,Unsqueeze,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,,1,1.0,0.0,1.0,,0.0,8.0,,0.0,8e-06,8e-06,8e-06,8e-06
Constant_2753,,,onnx::Unsqueeze_377,Constant,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,8e-06,8e-06,0.0,8e-06
/model/Unsqueeze_1,onnx::Unsqueeze_377,,/model/Unsqueeze_1_output_0,Unsqueeze,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,,1,1.0,0.0,1.0,,0.0,8.0,,0.0,8e-06,8e-06,8e-06,8e-06
/model/Concat,/model/Unsqueeze_output_0 /model/Unsqueeze_1_output_0,,/model/Concat_output_0,Concat,0.0,0.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1 1,,2,2.0,0.0,2.0,16.0,0.0,16.0,1.6e-05,0.0,1.6e-05,1.6e-05,1.6e-05,1.6e-05
/model/ConstantOfShape,/model/Concat_output_0,,/model/ConstantOfShape_output_0,ConstantOfShape,0.0,0.0,4096.0,0.0,16.0,4096.0,0.0,0.0,0.0,0.0,0.0,2,,1x2048,2.0,0.0,2048.0,,0.0,4096.0,,0.0,0.004096,0.004096,1.6e-05,0.004096
/model/Trilu,/model/ConstantOfShape_output_0,,/model/Trilu_output_0,Trilu,0.0,0.0,4096.0,0.0,4096.0,4096.0,2048.0,0.0,0.5,0.0,0.0,1x2048,,1x2048,2048.0,0.0,2048.0,,0.0,4096.0,,0.0,0.004096,0.004096,0.004096,0.004096
/model/Range_1,,,/model/Range_1_output_0,Range,0.0,0.0,16384.0,0.0,0.0,16384.0,6144.0,0.0,0.375,0.0,0.0,,,2048,0.0,0.0,2048.0,0.0,0.0,16384.0,0.0,0.0,0.016384,0.016384,0.0,0.016384
/model/Constant_7,,,/model/Constant_7_output_0,Constant,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,2,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,1.6e-05,1.6e-05,0.0,1.6e-05
/model/Reshape,/model/Range_output_0 /model/Constant_7_output_0,,/model/Reshape_output_0,Reshape,0.0,0.0,8.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,1 2,,1x1,3.0,0.0,1.0,24.0,0.0,8.0,2.4e-05,0.0,8e-06,8e-06,2.4e-05,8e-06
/model/Greater,/model/Range_1_output_0 /model/Reshape_output_0,,/model/Greater_output_0,Greater,0.0,0.0,2048.0,0.0,16392.0,2048.0,2048.0,0.0,1.0,0.0,0.0,2048 1x1,,1x2048,2049.0,0.0,2048.0,16392.0,0.0,2048.0,0.016392,0.0,0.002048,0.002048,0.016392,0.002048
Cast_2765,/model/Greater_output_0,,onnx::Mul_389,Cast,0.0,0.0,4096.0,0.0,2048.0,4096.0,2048.0,0.0,0.5,0.0,0.0,1x2048,,1x2048,2048.0,0.0,2048.0,,0.0,4096.0,,0.0,0.004096,0.004096,0.002048,0.004096
/model/Mul,/model/Trilu_output_0 onnx::Mul_389,,/model/Mul_output_0,Mul,0.0,0.0,4096.0,0.0,8192.0,4096.0,2048.0,0.0,0.5,0.0,0.0,1x2048 1x2048,,1x2048,4096.0,0.0,2048.0,8192.0,0.0,4096.0,0.008192,0.0,0.004096,0.004096,0.008192,0.004096
/model/Constant_8,,,/model/Constant_8_output_0,Constant,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,8e-06,8e-06,0.0,8e-06
