Output Name,Output Node Index,Input Node Index,Frequency,Cachability,Compute Operations,Memory (in Bytes),Memory (in MB)
/model/embed_tokens/Gather_output_0,1,3 23 123 128 311,5,310,0,8192,0.008192
/model/Shape_output_0,2,,0,0,0,32,3.2e-05
/model/Shape_1_output_0,3,,0,0,0,24,2.4e-05
/model/Range_output_0,4,15,1,11,3,8,8e-06
/model/Shape_2_output_0,5,,0,0,0,16,1.6e-05
onnx::Unsqueeze_375,6,7,1,1,0,8,8e-06
/model/Unsqueeze_output_0,7,10,1,3,0,8,8e-06
onnx::Unsqueeze_377,8,9,1,1,0,8,8e-06
/model/Unsqueeze_1_output_0,9,10,1,1,0,8,8e-06
/model/Concat_output_0,10,11,1,1,0,16,1.6e-05
/model/ConstantOfShape_output_0,11,12,1,1,0,4096,0.004096
/model/Trilu_output_0,12,18,1,6,2048,4096,0.004096
/model/Range_1_output_0,13,16,1,3,6144,16384,0.016384
/model/Constant_7_output_0,14,15,1,1,0,16,1.6e-05
/model/Reshape_output_0,15,16,1,1,0,8,8e-06
/model/Greater_output_0,16,17,1,1,2048,2048,0.002048
onnx::Mul_389,17,18,1,1,2048,4096,0.004096
/model/Mul_output_0,18,20,1,2,2048,4096,0.004096
/model/Constant_8_output_0,19,20,1,1,0,8,8e-06
/model/Unsqueeze_2_output_0,20,22,1,2,0,4096,0.004096
/model/Constant_9_output_0,21,22,1,1,0,8,8e-06
/model/Unsqueeze_3_output_0,22,35,1,13,0,4096,0.004096
/model/Shape_3_output_0,23,,0,0,0,24,2.4e-05
/model/Constant_11_output_0,24,25,1,1,0,8,8e-06
/model/Unsqueeze_4_output_0,25,29,1,4,0,8,8e-06
/model/Constant_12_output_0,26,29,1,3,0,8,8e-06
/model/Constant_13_output_0,27,29,1,2,0,8,8e-06
/model/Constant_14_output_0,28,29,1,1,0,8,8e-06
/model/Concat_1_output_0,29,30 33 34,3,5,0,32,3.2e-05
/model/Shape_4_output_0,30,31,1,1,0,8,8e-06
/model/ConstantOfShape_1_output_0,31,32 34,2,3,0,32,3.2e-05
/model/Mul_1_output_0,32,33,1,1,4,32,3.2e-05
/model/Equal_output_0,33,34,1,1,4,4,4e-06
/model/Where_output_0,34,35,1,1,4,32,3.2e-05
/model/Expand_output_0,35,41 55 62 65 67 69 71 122,8,87,2048,4096,0.004096
/model/Constant_17_output_0,36,41,1,5,0,8,8e-06
/model/Constant_18_output_0,37,41,1,4,0,8,8e-06
/model/Constant_19_output_0,38,39,1,1,0,8,8e-06
/model/Unsqueeze_5_output_0,39,41,1,2,0,8,8e-06
/model/Constant_20_output_0,40,41,1,1,0,8,8e-06
/model/Slice_output_0,41,42,1,1,0,4096,0.004096
/model/Equal_1_output_0,42,49,1,7,2048,2048,0.002048
/model/Constant_22_output_0,43,44,1,1,0,8,8e-06
/model/Unsqueeze_6_output_0,44,46,1,2,0,16384,0.016384
/model/Constant_23_output_0,45,46,1,1,0,8,8e-06
/model/Unsqueeze_7_output_0,46,47,1,1,0,16384,0.016384
/model/Cast_4_output_0,47,48,1,1,2048,4096,0.004096
/model/Equal_2_output_0,48,49,1,1,2048,2048,0.002048
/model/And_output_0,49,56,1,7,2048,2048,0.002048
/model/Constant_25_output_0,50,55,1,5,0,8,8e-06
/model/Constant_26_output_0,51,55,1,4,0,8,8e-06
/model/Constant_27_output_0,52,53,1,1,0,8,8e-06
/model/Unsqueeze_8_output_0,53,55,1,2,0,8,8e-06
/model/Constant_28_output_0,54,55,1,1,0,8,8e-06
/model/Slice_1_output_0,55,56,1,1,0,4096,0.004096
/model/Where_1_output_0,56,64,1,8,2048,4096,0.004096
/model/Constant_30_output_0,57,62,1,5,0,8,8e-06
/model/Constant_31_output_0,58,62,1,4,0,8,8e-06
/model/Constant_32_output_0,59,60,1,1,0,8,8e-06
/model/Unsqueeze_9_output_0,60,62,1,2,0,8,8e-06
/model/Constant_33_output_0,61,62,1,1,0,8,8e-06
/model/Slice_2_output_0,62,63,1,1,0,4096,0.004096
/model/Shape_5_output_0,63,64,1,1,0,32,3.2e-05
/model/Expand_1_output_0,64,122,1,58,2048,4096,0.004096
/model/Shape_6_output_0,65,,0,0,0,32,3.2e-05
/model/Range_2_output_0,66,80,1,14,3,8,8e-06
/model/Shape_7_output_0,67,,0,0,0,32,3.2e-05
/model/Range_3_output_0,68,82,1,14,3,8,8e-06
/model/Shape_8_output_0,69,,0,0,0,32,3.2e-05
/model/Range_4_output_0,70,84,1,14,3,8,8e-06
/model/Shape_9_output_0,71,,0,0,0,32,3.2e-05
/model/Range_5_output_0,72,78,1,6,6144,16384,0.016384
/model/Constant_46_output_0,73,78,1,5,0,8,8e-06
/model/Constant_47_output_0,74,78,1,4,0,8,8e-06
/model/Constant_48_output_0,75,76,1,1,0,8,8e-06
/model/Unsqueeze_10_output_0,76,78,1,2,0,8,8e-06
/model/Constant_49_output_0,77,78,1,1,0,8,8e-06
/model/Slice_3_output_0,78,87 118,2,40,0,16384,0.016384
/model/Constant_50_output_0,79,80,1,1,0,32,3.2e-05
/model/Reshape_2_output_0,80,85 94,2,14,0,8,8e-06
/model/Constant_51_output_0,81,82,1,1,0,24,2.4e-05
/model/Reshape_3_output_0,82,85 102,2,20,0,8,8e-06
/model/Constant_52_output_0,83,84,1,1,0,16,1.6e-05
/model/Reshape_4_output_0,84,86 110,2,26,0,8,8e-06
/model/Add_1_output_0,85,86,1,1,1,8,8e-06
/model/Add_2_output_0,86,87,1,1,1,8,8e-06
/model/Add_3_output_0,87,88,1,1,2048,16384,0.016384
/model/Shape_10_output_0,88,89 92 93 97 100 101 105 108 109 113 116 117,12,29,0,32,3.2e-05
/model/Shape_11_output_0,89,90,1,1,0,8,8e-06
/model/ConstantOfShape_2_output_0,90,91 93,2,3,0,32,3.2e-05
/model/Mul_2_output_0,91,92,1,1,4,32,3.2e-05
/model/Equal_3_output_0,92,93,1,1,4,4,4e-06
/model/Where_2_output_0,93,94,1,1,4,32,3.2e-05
/model/Expand_2_output_0,94,96,1,2,2048,16384,0.016384
/model/Constant_54_output_0,95,96,1,1,0,8,8e-06
/model/Unsqueeze_11_output_0,96,121,1,25,0,16384,0.016384
/model/Shape_12_output_0,97,98,1,1,0,8,8e-06
/model/ConstantOfShape_3_output_0,98,99 101,2,3,0,32,3.2e-05
/model/Mul_3_output_0,99,100,1,1,4,32,3.2e-05
/model/Equal_4_output_0,100,101,1,1,4,4,4e-06
/model/Where_3_output_0,101,102,1,1,4,32,3.2e-05
/model/Expand_3_output_0,102,104,1,2,2048,16384,0.016384
/model/Constant_56_output_0,103,104,1,1,0,8,8e-06
/model/Unsqueeze_12_output_0,104,121,1,17,0,16384,0.016384
/model/Shape_13_output_0,105,106,1,1,0,8,8e-06
/model/ConstantOfShape_4_output_0,106,107 109,2,3,0,32,3.2e-05
/model/Mul_4_output_0,107,108,1,1,4,32,3.2e-05
/model/Equal_5_output_0,108,109,1,1,4,4,4e-06
/model/Where_4_output_0,109,110,1,1,4,32,3.2e-05
/model/Expand_4_output_0,110,112,1,2,2048,16384,0.016384
/model/Constant_58_output_0,111,112,1,1,0,8,8e-06
/model/Unsqueeze_13_output_0,112,121,1,9,0,16384,0.016384
/model/Shape_14_output_0,113,114,1,1,0,8,8e-06
/model/ConstantOfShape_5_output_0,114,115 117,2,3,0,32,3.2e-05
/model/Mul_5_output_0,115,116,1,1,4,32,3.2e-05
/model/Equal_6_output_0,116,117,1,1,4,4,4e-06
/model/Where_5_output_0,117,118,1,1,4,32,3.2e-05
/model/Expand_5_output_0,118,120,1,2,2048,16384,0.016384
/model/Constant_60_output_0,119,120,1,1,0,8,8e-06
/model/Unsqueeze_14_output_0,120,121,1,1,0,16384,0.016384
/model/Concat_2_output_0,121,122,1,1,0,65536,0.065536
/model/ScatterND_output_0,122,298 476 654 832 1010 1188 1366 1544 1722 1900 2078 2256 2434 2612 2790 2968 3146 3324 3502 3680 3858 4036 4214 4392 4570 4748 4926 5104 5282 5460 5638 5816,32,5694,0,4096,0.004096
/model/layers.0/input_layernorm/Pow_output_0,123,124,1,1,4096,8192,0.008192
/model/layers.0/input_layernorm/ReduceMean_output_0,124,125,1,1,1,2,2e-06
/model/layers.0/input_layernorm/Add_output_0,125,126,1,1,1,2,2e-06
/model/layers.0/input_layernorm/Sqrt_output_0,126,127,1,1,1,2,2e-06
/model/layers.0/input_layernorm/Div_output_0,127,128,1,1,1,2,2e-06
/model/layers.0/input_layernorm/Mul_output_0,128,129,1,1,4096,8192,0.008192
/model/layers.0/input_layernorm/Mul_1_output_0,129,130 131 132 133 134,5,5,4096,8192,0.008192
/model/layers.0/self_attn/Shape_output_0,130,,0,0,0,24,2.4e-05
/model/layers.0/self_attn/Shape_1_output_0,131,,0,0,0,24,2.4e-05
/model/layers.0/self_attn/q_proj/MatMul_output_0,132,142,1,10,16777216,8192,0.008192
/model/layers.0/self_attn/k_proj/MatMul_output_0,133,158,1,25,4194304,2048,0.002048
/model/layers.0/self_attn/v_proj/MatMul_output_0,134,160,1,26,4194304,2048,0.002048
onnx::Unsqueeze_581,135,136,1,1,0,8,8e-06
/model/layers.0/self_attn/Unsqueeze_output_0,136,141,1,5,0,8,8e-06
onnx::Unsqueeze_583,137,138,1,1,0,8,8e-06
/model/layers.0/self_attn/Unsqueeze_1_output_0,138,141,1,3,0,8,8e-06
