Operator,Count,Count (%),Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Average Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,163.0,4.409,0.0,0.0,3038781448.0,7.948,1513096193.0,0.0,0.493,0.0,0.0,3038781448.0,7.948
And,1.0,0.027,0.0,0.0,2097152.0,0.005,2097152.0,0.0,1.0,0.0,0.0,2097152.0,0.005
Concat,357.0,9.656,0.0,0.0,470098248.0,1.233,0.0,0.0,0.0,0.0,0.0,470098248.0,1.233
Constant,1801.0,48.715,0.0,0.0,14584.0,0.0,0.0,0.0,0.0,0.0,0.0,14584.0,0.0
Equal,70.0,1.893,0.0,0.0,343.0,0.0,343.0,0.0,1.0,0.0,0.0,343.0,0.0
Expand,71.0,1.92,0.0,0.0,612892800.0,1.606,281280576.0,0.0,0.479,0.0,0.0,612892800.0,1.606
Gather,1.0,0.027,525336576.0,6.542,1059061760.0,2.776,0.0,0.0,0.0,1050673152.0,2.754,8388608.0,0.022
Greater,1.0,0.027,0.0,0.0,2097152.0,0.005,2097152.0,0.0,1.0,0.0,0.0,2097152.0,0.005
MatMul,161.0,4.355,2550136832.0,31.744,8793489408.0,23.04,2612549189632.0,33.92,244.435,5100273664.0,13.376,3693215744.0,9.664
Mul,258.0,6.979,0.0,0.0,3099590656.0,8.097,1549795328.0,0.0,0.5,0.0,0.0,3099590656.0,8.097
Pow,1.0,0.027,0.0,0.0,8388608.0,0.022,4194304.0,0.0,0.5,0.0,0.0,8388608.0,0.022
Range,6.0,0.162,0.0,0.0,49168.0,0.0,18438.0,0.0,0.375,0.0,0.0,49168.0,0.0
Reshape,196.0,5.302,0.0,0.0,1208500240.0,3.136,0.0,0.0,0.0,0.0,0.0,1208500240.0,3.136
ScatterND,1.0,0.027,0.0,0.0,4194304.0,0.011,0.0,0.0,0.0,0.0,0.0,4194304.0,0.011
Shape,299.0,8.088,0.0,0.0,9192.0,0.0,0.0,0.0,0.0,0.0,0.0,9192.0,0.0
Slice,164.0,4.436,0.0,0.0,415318016.0,1.121,0.0,0.0,0.0,0.0,0.0,415318016.0,1.121
Unsqueeze,75.0,2.029,0.0,0.0,210411520.0,0.584,0.0,0.0,0.0,0.0,0.0,210411520.0,0.584
Where,71.0,1.92,0.0,0.0,4197048.0,0.011,2097495.0,0.0,0.13,0.0,0.0,4197048.0,0.011
,3697.0,100.0,3075473408.0,38.0,18929191647.0,50.0,2615903866613.0,34.0,250.0,6150946816.0,16.0,12778244831.0,33.0
