Output Name,Output Node Index,Fused Output Node Index,Input Node Index,Fused Input Node Index,Frequency,Fused Frequency,Fused Cachability,Cachability,Compute Operations,Memory (in Bytes),Memory (in MB)
/model/embed_tokens/Gather_output_0,1,1,3 23 123 128 311,3 37,5,2,36,310,0,8192,0.008192
/model/Shape_output_0,2,2,,,0,0,0,0,0,32,3.2e-05
/model/Shape_1_output_0,3,3,,,0,0,0,0,0,24,2.4e-05
/model/Range_output_0,4,3,15,,1,0,0,11,3,8,8e-06
/model/Shape_2_output_0,5,3,,,0,0,0,0,0,16,1.6e-05
onnx::Unsqueeze_375,6,3,7,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_output_0,7,3,10,,1,0,0,3,0,8,8e-06
onnx::Unsqueeze_377,8,3,9,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_1_output_0,9,3,10,,1,0,0,1,0,8,8e-06
/model/Concat_output_0,10,3,11,,1,0,0,1,0,16,1.6e-05
/model/ConstantOfShape_output_0,11,3,12,,1,0,0,1,0,4096,0.004096
/model/Trilu_output_0,12,3,18,,1,0,0,6,2048,4096,0.004096
/model/Range_1_output_0,13,3,16,,1,0,0,3,6144,16384,0.016384
/model/Constant_7_output_0,14,3,15,,1,0,0,1,0,16,1.6e-05
/model/Reshape_output_0,15,3,16,,1,0,0,1,0,8,8e-06
/model/Greater_output_0,16,3,17,,1,0,0,1,2048,2048,0.002048
onnx::Mul_389,17,3,18,,1,0,0,1,2048,4096,0.004096
/model/Mul_output_0,18,3,20,,1,0,0,2,2048,4096,0.004096
/model/Constant_8_output_0,19,3,20,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_2_output_0,20,3,22,,1,0,0,2,0,4096,0.004096
/model/Constant_9_output_0,21,3,22,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_3_output_0,22,3,35,,1,0,0,13,0,4096,0.004096
/model/Shape_3_output_0,23,3,,,0,0,0,0,0,24,2.4e-05
/model/Constant_11_output_0,24,3,25,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_4_output_0,25,3,29,,1,0,0,4,0,8,8e-06
/model/Constant_12_output_0,26,3,29,,1,0,0,3,0,8,8e-06
/model/Constant_13_output_0,27,3,29,,1,0,0,2,0,8,8e-06
/model/Constant_14_output_0,28,3,29,,1,0,0,1,0,8,8e-06
/model/Concat_1_output_0,29,3,30 33 34,,3,0,0,5,0,32,3.2e-05
/model/Shape_4_output_0,30,3,31,,1,0,0,1,0,8,8e-06
/model/ConstantOfShape_1_output_0,31,3,32 34,,2,0,0,3,0,32,3.2e-05
/model/Mul_1_output_0,32,3,33,,1,0,0,1,4,32,3.2e-05
/model/Equal_output_0,33,3,34,,1,0,0,1,4,4,4e-06
/model/Where_output_0,34,3,35,,1,0,0,1,4,32,3.2e-05
/model/Expand_output_0,35,3,41 55 62 65 67 69 71 122,,8,0,0,87,2048,4096,0.004096
/model/Constant_17_output_0,36,3,41,,1,0,0,5,0,8,8e-06
/model/Constant_18_output_0,37,3,41,,1,0,0,4,0,8,8e-06
/model/Constant_19_output_0,38,3,39,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_5_output_0,39,3,41,,1,0,0,2,0,8,8e-06
/model/Constant_20_output_0,40,3,41,,1,0,0,1,0,8,8e-06
/model/Slice_output_0,41,3,42,,1,0,0,1,0,4096,0.004096
/model/Equal_1_output_0,42,3,49,,1,0,0,7,2048,2048,0.002048
/model/Constant_22_output_0,43,3,44,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_6_output_0,44,3,46,,1,0,0,2,0,16384,0.016384
/model/Constant_23_output_0,45,3,46,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_7_output_0,46,3,47,,1,0,0,1,0,16384,0.016384
/model/Cast_4_output_0,47,3,48,,1,0,0,1,2048,4096,0.004096
/model/Equal_2_output_0,48,3,49,,1,0,0,1,2048,2048,0.002048
/model/And_output_0,49,3,56,,1,0,0,7,2048,2048,0.002048
/model/Constant_25_output_0,50,3,55,,1,0,0,5,0,8,8e-06
/model/Constant_26_output_0,51,3,55,,1,0,0,4,0,8,8e-06
/model/Constant_27_output_0,52,3,53,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_8_output_0,53,3,55,,1,0,0,2,0,8,8e-06
/model/Constant_28_output_0,54,3,55,,1,0,0,1,0,8,8e-06
/model/Slice_1_output_0,55,3,56,,1,0,0,1,0,4096,0.004096
/model/Where_1_output_0,56,3,64,,1,0,0,8,2048,4096,0.004096
/model/Constant_30_output_0,57,3,62,,1,0,0,5,0,8,8e-06
/model/Constant_31_output_0,58,3,62,,1,0,0,4,0,8,8e-06
/model/Constant_32_output_0,59,3,60,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_9_output_0,60,3,62,,1,0,0,2,0,8,8e-06
/model/Constant_33_output_0,61,3,62,,1,0,0,1,0,8,8e-06
/model/Slice_2_output_0,62,3,63,,1,0,0,1,0,4096,0.004096
/model/Shape_5_output_0,63,3,64,,1,0,0,1,0,32,3.2e-05
/model/Expand_1_output_0,64,3,122,,1,0,0,58,2048,4096,0.004096
/model/Shape_6_output_0,65,3,,,0,0,0,0,0,32,3.2e-05
/model/Range_2_output_0,66,3,80,,1,0,0,14,3,8,8e-06
/model/Shape_7_output_0,67,3,,,0,0,0,0,0,32,3.2e-05
/model/Range_3_output_0,68,3,82,,1,0,0,14,3,8,8e-06
/model/Shape_8_output_0,69,3,,,0,0,0,0,0,32,3.2e-05
/model/Range_4_output_0,70,3,84,,1,0,0,14,3,8,8e-06
/model/Shape_9_output_0,71,3,,,0,0,0,0,0,32,3.2e-05
/model/Range_5_output_0,72,3,78,,1,0,0,6,6144,16384,0.016384
/model/Constant_46_output_0,73,3,78,,1,0,0,5,0,8,8e-06
/model/Constant_47_output_0,74,3,78,,1,0,0,4,0,8,8e-06
/model/Constant_48_output_0,75,3,76,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_10_output_0,76,3,78,,1,0,0,2,0,8,8e-06
/model/Constant_49_output_0,77,3,78,,1,0,0,1,0,8,8e-06
/model/Slice_3_output_0,78,3,87 118,,2,0,0,40,0,16384,0.016384
/model/Constant_50_output_0,79,3,80,,1,0,0,1,0,32,3.2e-05
/model/Reshape_2_output_0,80,3,85 94,,2,0,0,14,0,8,8e-06
/model/Constant_51_output_0,81,3,82,,1,0,0,1,0,24,2.4e-05
/model/Reshape_3_output_0,82,3,85 102,,2,0,0,20,0,8,8e-06
/model/Constant_52_output_0,83,3,84,,1,0,0,1,0,16,1.6e-05
/model/Reshape_4_output_0,84,3,86 110,,2,0,0,26,0,8,8e-06
/model/Add_1_output_0,85,3,86,,1,0,0,1,1,8,8e-06
/model/Add_2_output_0,86,3,87,,1,0,0,1,1,8,8e-06
/model/Add_3_output_0,87,3,88,,1,0,0,1,2048,16384,0.016384
/model/Shape_10_output_0,88,3,89 92 93 97 100 101 105 108 109 113 116 117,,12,0,0,29,0,32,3.2e-05
/model/Shape_11_output_0,89,3,90,,1,0,0,1,0,8,8e-06
/model/ConstantOfShape_2_output_0,90,3,91 93,,2,0,0,3,0,32,3.2e-05
/model/Mul_2_output_0,91,3,92,,1,0,0,1,4,32,3.2e-05
/model/Equal_3_output_0,92,3,93,,1,0,0,1,4,4,4e-06
/model/Where_2_output_0,93,3,94,,1,0,0,1,4,32,3.2e-05
/model/Expand_2_output_0,94,3,96,,1,0,0,2,2048,16384,0.016384
/model/Constant_54_output_0,95,3,96,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_11_output_0,96,3,121,,1,0,0,25,0,16384,0.016384
/model/Shape_12_output_0,97,3,98,,1,0,0,1,0,8,8e-06
/model/ConstantOfShape_3_output_0,98,3,99 101,,2,0,0,3,0,32,3.2e-05
/model/Mul_3_output_0,99,3,100,,1,0,0,1,4,32,3.2e-05
/model/Equal_4_output_0,100,3,101,,1,0,0,1,4,4,4e-06
/model/Where_3_output_0,101,3,102,,1,0,0,1,4,32,3.2e-05
/model/Expand_3_output_0,102,3,104,,1,0,0,2,2048,16384,0.016384
/model/Constant_56_output_0,103,3,104,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_12_output_0,104,3,121,,1,0,0,17,0,16384,0.016384
/model/Shape_13_output_0,105,3,106,,1,0,0,1,0,8,8e-06
/model/ConstantOfShape_4_output_0,106,3,107 109,,2,0,0,3,0,32,3.2e-05
/model/Mul_4_output_0,107,3,108,,1,0,0,1,4,32,3.2e-05
/model/Equal_5_output_0,108,3,109,,1,0,0,1,4,4,4e-06
/model/Where_4_output_0,109,3,110,,1,0,0,1,4,32,3.2e-05
/model/Expand_4_output_0,110,3,112,,1,0,0,2,2048,16384,0.016384
/model/Constant_58_output_0,111,3,112,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_13_output_0,112,3,121,,1,0,0,9,0,16384,0.016384
/model/Shape_14_output_0,113,3,114,,1,0,0,1,0,8,8e-06
/model/ConstantOfShape_5_output_0,114,3,115 117,,2,0,0,3,0,32,3.2e-05
/model/Mul_5_output_0,115,3,116,,1,0,0,1,4,32,3.2e-05
/model/Equal_6_output_0,116,3,117,,1,0,0,1,4,4,4e-06
/model/Where_5_output_0,117,3,118,,1,0,0,1,4,32,3.2e-05
/model/Expand_5_output_0,118,3,120,,1,0,0,2,2048,16384,0.016384
/model/Constant_60_output_0,119,3,120,,1,0,0,1,0,8,8e-06
/model/Unsqueeze_14_output_0,120,3,121,,1,0,0,1,0,16384,0.016384
/model/Concat_2_output_0,121,3,122,,1,0,0,1,0,65536,0.065536
/model/ScatterND_output_0,122,3,298 476 654 832 1010 1188 1366 1544 1722 1900 2078 2256 2434 2612 2790 2968 3146 3324 3502 3680 3858 4036 4214 4392 4570 4748 4926 5104 5282 5460 5638 5816,33 73 113 153 193 233 273 313 353 393 433 473 513 553 593 633 673 713 753 793 833 873 913 953 993 1033 1073 1113 1153 1193 1233 1273,32,32,1270,5694,0,4096,0.004096
/model/layers.0/input_layernorm/Pow_output_0,123,3,124,,1,0,0,1,4096,8192,0.008192
/model/layers.0/input_layernorm/ReduceMean_output_0,124,3,125,,1,0,0,1,1,2,2e-06
/model/layers.0/input_layernorm/Add_output_0,125,3,126,,1,0,0,1,1,2,2e-06
/model/layers.0/input_layernorm/Sqrt_output_0,126,3,127,,1,0,0,1,1,2,2e-06
/model/layers.0/input_layernorm/Div_output_0,127,3,128,,1,0,0,1,1,2,2e-06
/model/layers.0/input_layernorm/Mul_output_0,128,3,129,,1,0,0,1,4096,8192,0.008192
/model/layers.0/input_layernorm/Mul_1_output_0,129,3,130 131 132 133 134,4 5 6,5,3,3,5,4096,8192,0.008192
/model/layers.0/self_attn/Shape_output_0,130,3,,,0,0,0,0,0,24,2.4e-05
/model/layers.0/self_attn/Shape_1_output_0,131,3,,,0,0,0,0,0,24,2.4e-05
/model/layers.0/self_attn/q_proj/MatMul_output_0,132,4,142,7,1,1,3,10,16777216,8192,0.008192
/model/layers.0/self_attn/k_proj/MatMul_output_0,133,5,158,7,1,1,2,25,4194304,2048,0.002048
/model/layers.0/self_attn/v_proj/MatMul_output_0,134,6,160,7,1,1,1,26,4194304,2048,0.002048
onnx::Unsqueeze_581,135,7,136,,1,0,0,1,0,8,8e-06
/model/layers.0/self_attn/Unsqueeze_output_0,136,7,141,,1,0,0,5,0,8,8e-06
onnx::Unsqueeze_583,137,7,138,,1,0,0,1,0,8,8e-06
/model/layers.0/self_attn/Unsqueeze_1_output_0,138,7,141,,1,0,0,3,0,8,8e-06
/model/layers.0/self_attn/Constant_2_output_0,139,7,141,,1,0,0,2,0,8,8e-06
/model/layers.0/self_attn/Constant_3_output_0,140,7,141,,1,0,0,1,0,8,8e-06
/model/layers.0/self_attn/Concat_output_0,141,7,142,,1,0,0,1,0,32,3.2e-05
