Operator,Count,Count (%),Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,1304.0,4.52,1231040.0,0.0,3381979440.0,12.049,4924160.0,0.0,3377055280.0,12.049
Cast,1264.0,4.381,0.0,0.0,860172572.0,3.02,0.0,0.0,860172572.0,3.02
Concat,1299.0,4.502,0.0,0.0,61009960.0,0.214,0.0,0.0,61009960.0,0.214
Constant,9373.0,32.486,0.0,0.0,53240.0,0.0,0.0,0.0,53240.0,0.0
ConstantOfShape,141.0,0.489,0.0,0.0,860160008.0,3.02,0.0,0.0,860160008.0,3.02
Conv,51.0,0.177,333272004.0,12.982,1484541712.0,5.21,1333088016.0,4.681,151453696.0,0.53
Cos,2.0,0.007,0.0,0.0,3712.0,0.0,0.0,0.0,3712.0,0.0
Div,1067.0,3.698,0.0,0.0,992215600.0,3.57,0.0,0.0,992215600.0,3.57
Equal,1.0,0.003,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Erf,70.0,0.243,0.0,0.0,419430400.0,1.45,0.0,0.0,419430400.0,1.45
Expand,1.0,0.003,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
Gather,2216.0,7.681,0.0,0.0,560.0,0.0,0.0,0.0,560.0,0.0
Gemm,21.0,0.073,24922560.0,0.972,99765760.0,0.354,99690240.0,0.354,75520.0,0.0
InstanceNormalization,46.0,0.159,0.0,0.0,154664960.0,0.544,0.0,0.0,154664960.0,0.544
MatMul,1002.0,3.473,2207744000.0,86.068,11566909440.0,40.806,8830976000.0,31.026,2735933440.0,9.78
Mul,1498.0,5.192,294080.0,0.0,3582738920.0,12.573,1176320.0,0.0,3581562600.0,12.573
Pow,210.0,0.728,0.0,0.0,314572800.0,1.17,0.0,0.0,314572800.0,1.17
ReduceMean,420.0,1.456,0.0,0.0,614400.0,0.0,0.0,0.0,614400.0,0.0
Reshape,1237.0,4.287,0.0,0.0,1712072736.0,6.198,0.0,0.0,1712072736.0,6.198
Resize,2.0,0.007,0.0,0.0,15728640.0,0.055,0.0,0.0,15728640.0,0.055
Shape,2264.0,7.847,0.0,0.0,55032.0,0.0,0.0,0.0,55032.0,0.0
Sigmoid,38.0,0.132,0.0,0.0,133708800.0,0.469,0.0,0.0,133708800.0,0.469
Sin,2.0,0.007,0.0,0.0,3712.0,0.0,0.0,0.0,3712.0,0.0
Slice,145.0,0.503,0.0,0.0,838868224.0,2.9,0.0,0.0,838868224.0,2.9
Softmax,140.0,0.485,0.0,0.0,860160000.0,3.02,0.0,0.0,860160000.0,3.02
Sqrt,210.0,0.728,0.0,0.0,307200.0,0.0,0.0,0.0,307200.0,0.0
Sub,210.0,0.728,0.0,0.0,314572800.0,1.17,0.0,0.0,314572800.0,1.17
Transpose,722.0,2.502,0.0,0.0,852823040.0,3.09,0.0,0.0,852823040.0,3.09
Unsqueeze,3895.0,13.5,0.0,0.0,140984.0,0.0,0.0,0.0,140984.0,0.0
Where,1.0,0.003,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
,28852.0,100.0,2567463684.0,100.0,28507274669.0,101.0,10269854736.0,36.0,18237419933.0,65.0
