Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/Shape,Shape,0.0,0.0,32.0,0.0,0.0,0.0,1x4x64x64,4,,16384,4,65536.0,0.0,32.0,0.0,0.0,0.0
/Constant_1,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Unsqueeze,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/Concat,Concat,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Reshape,Reshape,0.0,0.0,8.0,0.0,0.0,0.0,"1, 1",1,,2,1,16.0,0.0,8.0,0.0,0.0,0.0
/Shape_1,Shape,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/ConstantOfShape,ConstantOfShape,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/Mul,Mul,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/Equal,Equal,0.0,0.0,1.0,0.0,0.0,0.0,"1, 1",1,,2,1,16.0,0.0,1.0,0.0,0.0,0.0
/Where,Where,0.0,0.0,8.0,0.0,0.0,0.0,"1, 1, 1",1,,3,1,17.0,0.0,8.0,0.0,0.0,0.0
/Expand,Expand,0.0,0.0,8.0,0.0,0.0,0.0,"1, 1",1,,2,1,16.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Unsqueeze,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,"1, 1",1x1,,2,1,16.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Cast,Cast,0.0,0.0,4.0,0.0,0.0,0.0,1x1,1x1,,1,1,8.0,0.0,4.0,0.0,0.0,0.0
/time_proj/Constant_1,Constant,0.0,0.0,640.0,0.0,0.0,0.0,,1x160,,0,160,0.0,0.0,640.0,0.0,0.0,0.0
/time_proj/Mul,Mul,0.0,0.0,640.0,0.0,0.0,0.0,"1x1, 1x160",1x160,,161,160,644.0,0.0,640.0,0.0,0.0,0.0
/time_proj/Sin,Sin,0.0,0.0,640.0,0.0,0.0,0.0,1x160,1x160,,160,160,640.0,0.0,640.0,0.0,0.0,0.0
/time_proj/Cos,Cos,0.0,0.0,640.0,0.0,0.0,0.0,1x160,1x160,,160,160,640.0,0.0,640.0,0.0,0.0,0.0
/time_proj/Concat,Concat,0.0,0.0,1280.0,0.0,0.0,0.0,"1x160, 1x160",1x320,,320,320,1280.0,0.0,1280.0,0.0,0.0,0.0
/time_proj/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Slice,Slice,0.0,0.0,640.0,0.0,0.0,0.0,"1x320, 1, 1, 1, 1",1x160,,324,160,1312.0,0.0,640.0,0.0,0.0,0.0
/time_proj/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant_8,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/time_proj/Slice_1,Slice,0.0,0.0,640.0,0.0,0.0,0.0,"1x320, 1, 1, 1, 1",1x160,,324,160,1312.0,0.0,640.0,0.0,0.0,0.0
/time_proj/Concat_1,Concat,0.0,0.0,1280.0,0.0,0.0,0.0,"1x160, 1x160",1x320,,320,320,1280.0,0.0,1280.0,0.0,0.0,0.0
/Cast,Cast,0.0,0.0,1280.0,0.0,0.0,0.0,1x320,1x320,,320,320,1280.0,0.0,1280.0,0.0,0.0,0.0
/time_embedding/linear_1/Gemm,Gemm,410880.0,0.016,1648640.0,0.00578,0.00577,2e-05,1x320,1x1280,"1280x320, 1280",320,1280,1280.0,1643520.0,5120.0,2.0,0.0,2.0
/time_embedding/act/Sigmoid,Sigmoid,0.0,0.0,5120.0,2e-05,0.0,2e-05,1x1280,1x1280,,1280,1280,5120.0,0.0,5120.0,0.0,0.0,0.0
/time_embedding/act/Mul,Mul,0.0,0.0,5120.0,2e-05,0.0,2e-05,"1x1280, 1x1280",1x1280,,2560,1280,10240.0,0.0,5120.0,0.0,0.0,0.0
/time_embedding/linear_2/Gemm,Gemm,1639680.0,0.06386,6563840.0,0.02303,0.02301,2e-05,1x1280,1x1280,"1280x1280, 1280",1280,1280,5120.0,6558720.0,5120.0,7.0,0.0,7.0
/Shape_2,Shape,0.0,0.0,16.0,0.0,0.0,0.0,1x6,2,,6,2,24.0,0.0,16.0,0.0,0.0,0.0
/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Slice,Slice,0.0,0.0,0.0,0.0,0.0,0.0,"2, 1, 1, 1",0,,5,0,40.0,0.0,0.0,0.0,0.0,0.0
/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Concat_1,Concat,0.0,0.0,8.0,0.0,0.0,0.0,"0, 1",1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/Reshape_1,Reshape,0.0,0.0,24.0,0.0,0.0,0.0,"1x6, 1",6,,7,6,32.0,0.0,24.0,0.0,0.0,0.0
/add_time_proj/Constant,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Unsqueeze,Unsqueeze,0.0,0.0,24.0,0.0,0.0,0.0,"6, 1",6x1,,7,6,32.0,0.0,24.0,0.0,0.0,0.0
/add_time_proj/Cast,Cast,0.0,0.0,24.0,0.0,0.0,0.0,6x1,6x1,,6,6,24.0,0.0,24.0,0.0,0.0,0.0
/add_time_proj/Constant_1,Constant,0.0,0.0,512.0,0.0,0.0,0.0,,1x128,,0,128,0.0,0.0,512.0,0.0,0.0,0.0
/add_time_proj/Mul,Mul,0.0,0.0,3072.0,1e-05,0.0,1e-05,"6x1, 1x128",6x128,,134,768,536.0,0.0,3072.0,0.0,0.0,0.0
/add_time_proj/Sin,Sin,0.0,0.0,3072.0,1e-05,0.0,1e-05,6x128,6x128,,768,768,3072.0,0.0,3072.0,0.0,0.0,0.0
/add_time_proj/Cos,Cos,0.0,0.0,3072.0,1e-05,0.0,1e-05,6x128,6x128,,768,768,3072.0,0.0,3072.0,0.0,0.0,0.0
/add_time_proj/Concat,Concat,0.0,0.0,6144.0,2e-05,0.0,2e-05,"6x128, 6x128",6x256,,1536,1536,6144.0,0.0,6144.0,0.0,0.0,0.0
/add_time_proj/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Slice,Slice,0.0,0.0,3072.0,1e-05,0.0,1e-05,"6x256, 1, 1, 1, 1",6x128,,1540,768,6176.0,0.0,3072.0,0.0,0.0,0.0
/add_time_proj/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Constant_8,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/add_time_proj/Slice_1,Slice,0.0,0.0,3072.0,1e-05,0.0,1e-05,"6x256, 1, 1, 1, 1",6x128,,1540,768,6176.0,0.0,3072.0,0.0,0.0,0.0
/add_time_proj/Concat_1,Concat,0.0,0.0,6144.0,2e-05,0.0,2e-05,"6x128, 6x128",6x256,,1536,1536,6144.0,0.0,6144.0,0.0,0.0,0.0
/Shape_3,Shape,0.0,0.0,16.0,0.0,0.0,0.0,1x1280,2,,1280,2,5120.0,0.0,16.0,0.0,0.0,0.0
Constant_69,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Unsqueeze_1,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/Concat_2,Concat,0.0,0.0,16.0,0.0,0.0,0.0,"1, 1",2,,2,2,16.0,0.0,16.0,0.0,0.0,0.0
