Operator,Count,Count (%),Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,180.0,2.784,0.0,0.0,6330556.0,0.176,0.0,0.0,6330556.0,0.176
Cast,475.0,7.347,0.0,0.0,43145221.0,1.24,0.0,0.0,43145221.0,1.24
Concat,270.0,4.176,0.0,0.0,92491552.0,2.684,0.0,0.0,92491552.0,2.684
Constant,2025.0,31.323,0.0,0.0,1059888.0,0.03,0.0,0.0,1059888.0,0.03
ConstantOfShape,48.0,0.742,0.0,0.0,10016.0,0.0,0.0,0.0,10016.0,0.0
DequantizeLinear,1.0,0.015,0.0,0.0,8192.0,0.0,0.0,0.0,8192.0,0.0
Div,111.0,1.717,0.0,0.0,5767348.0,0.176,0.0,0.0,5767348.0,0.176
DynamicQuantizeLinear,177.0,2.738,0.0,0.0,186297344.0,5.456,0.0,0.0,186297344.0,5.456
Equal,46.0,0.712,0.0,0.0,228.0,0.0,0.0,0.0,228.0,0.0
Expand,46.0,0.712,0.0,0.0,738222080.0,21.56,0.0,0.0,738222080.0,21.56
Gather,356.0,5.507,65536000.0,5.958,65549312.0,1.915,65536000.0,1.915,13312.0,0.0
Less,1.0,0.015,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MatMulInteger,199.0,3.078,1034420224.0,94.068,1042072576.0,30.453,1034420224.0,30.229,7652352.0,0.224
Mul,710.0,10.982,92160.0,0.0,10156832.0,0.268,368640.0,0.0,9788192.0,0.268
Neg,44.0,0.681,0.0,0.0,101376.0,0.0,0.0,0.0,101376.0,0.0
Pow,45.0,0.696,0.0,0.0,368640.0,0.0,0.0,0.0,368640.0,0.0
Range,1.0,0.015,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
ReduceMean,45.0,0.696,0.0,0.0,180.0,0.0,0.0,0.0,180.0,0.0
Reshape,179.0,2.769,0.0,0.0,738604840.0,21.56,0.0,0.0,738604840.0,21.56
Shape,359.0,5.553,0.0,0.0,9952.0,0.0,0.0,0.0,9952.0,0.0
Sigmoid,22.0,0.34,0.0,0.0,495616.0,0.022,0.0,0.0,495616.0,0.022
Slice,134.0,2.073,0.0,0.0,23271440.0,0.66,0.0,0.0,23271440.0,0.66
Softmax,22.0,0.34,0.0,0.0,5767168.0,0.176,0.0,0.0,5767168.0,0.176
Sqrt,45.0,0.696,0.0,0.0,180.0,0.0,0.0,0.0,180.0,0.0
Sub,2.0,0.031,0.0,0.0,8192.0,0.0,0.0,0.0,8192.0,0.0
Transpose,110.0,1.701,0.0,0.0,369504256.0,10.78,0.0,0.0,369504256.0,10.78
Unsqueeze,763.0,11.802,0.0,0.0,92340472.0,2.684,0.0,0.0,92340472.0,2.684
Where,49.0,0.758,0.0,0.0,18212.0,0.0,0.0,0.0,18212.0,0.0
,6465.0,100.0,1100048384.0,100.0,3421601678.0,100.0,1100324864.0,32.0,2321276814.0,68.0
