Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
Constant_12,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_14,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_10,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_11,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_12,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_13,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_38,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_14,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_48,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_50,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_16,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_17,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_18,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_19,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_20,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_21,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_22,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_25,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_26,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_27,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_28,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_29,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_30,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_31,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_134,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_136,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_143,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_145,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_150,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_152,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant,Constant,0.0,0.0,524288.0,0.015,0.0,0.015,,2048x64,,0,131072,0.0,0.0,524288.0,0.0,0.524288,0.524288
/model/layers.0/self_attn/rotary_emb/Constant_1,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_5,Constant,0.0,0.0,524288.0,0.015,0.0,0.015,,2048x64,,0,131072,0.0,0.0,524288.0,0.0,0.524288,0.524288
/model/layers.0/self_attn/rotary_emb/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_8,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_10,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_13,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_14,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_15,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_16,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_17,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_18,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_19,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_20,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_23,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_24,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
